6	1.md	里面	我里面	ctx12
9	1.md	καὶ ἐξοχήν	καψ εξοχήν	direct
10	1.md	一心想通过诋毁	一心想要通过诋毁	direct
13	1.md	寻不到	寻求不到	direct
13	1.md	不可能寻到	不可能寻求到	direct
16	1.md	因为我们要借着他复活	因为我们都要借着他复活	direct
18	1.md	不仅仅因为他第一个复活的	不仅仅因为他是第一个复活的	direct
20	1.md	所指的是魔鬼	所指是魔鬼	direct
24	1.md	听说过、	听说过的、	direct
36	2.md	都不被迷惑	都不要被迷惑	direct
41	2.md	由此可以看出	由此可以看出来	direct
43	2.md	从字面意义上理解	从字面意义上来理解	direct
43	2.md	从比喻意义上理解	从比喻意义上来理解	direct
43	2.md	比喻意义上理解	比喻意义上来理解	direct
45	2.md	这一方面也犯了错误	这方面也犯了错误	direct
51	2.md	那也只是不过是虚空的	那也只不过是虚空的	direct
51	2.md	祂	他	direct
59	3.md	我们就不不要发牢骚	我们就不要发牢骚	direct
60	3.md	常被用来代替将来时	常常被用来代替将来时	direct
60	3.md	是专门为他自己而设计	是专门为自己而设计	direct
61	3.md	用	以	ctx24
61	3.md	但这也或许是更好的	但这也许是更好的	direct
62	3.md	基督徒是包括一切	基督是包括一切	direct
62	3.md	倘若那些礼仪存在	倘若有那些礼仪存在	direct
65	3.md	住在完全的和谐中	在完全的和谐中生活在一起	direct
72	4.md	ιναπαρηνιάσωμαι	ἵνα παρρησιάσωμαι	direct
