10	preface.md	著者本意	著者的本意	页内1处 贴合=0.95 方向=+0.03 领先=1.95 …若误导读者离开原[著者本意→著者的本意]那就有违初衷僭越…
12	preface.md	上帝的	上帝的话	页内3处 贴合=0.94 方向=+0.02 领先=0.60 …恭敬的态度来处理[上帝的→上帝的话]绝不应当本着不同…
12	preface.md	你的交道	你我的交谊	页内1处 贴合=0.96 方向=+0.07 领先=1.96 …因为学者们都知道[你的交道→你我的交谊]所以你的评论反而…
14	preface.md	法律	律法	页内3处 贴合=0.97 方向=+0.05 领先=0.76 …因良心对他们就是[法律→律法]故此他们应深感有…
14	preface.md	反过来	反过来说	页内1处 贴合=0.98 方向=+0.02 领先=1.98 …主张其他称义之法[反过来→反过来说]他指示我们不应再…
16	preface.md	睛	瞎	页内1处 贴合=0.84 方向=+0.06 领先=1.84 …要除去由他们的眼[睛→瞎]而生出的罪他把亚…
17	preface.md	顽梗化	顽梗不化	页内1处 贴合=0.89 方向=+0.03 领先=1.89 …的劝勉因当时有些[顽梗化→顽梗不化]的人坚守摩西的律…
17	preface.md	愿意	顾念	页内1处 贴合=0.81 方向=+0.12 领先=1.81 …徒的自由保罗特别[愿意→顾念]信心软弱的人禁止…
21	1.md	令我们悔罪过的时候	令我们悔罪改过的时候	页内1处 贴合=1.00 方向=+0.02 领先=2.00 …灵在我们内心作工[令我们悔罪过的时候→令我们悔罪改过的时候]方能理解这能力其…
23	1.md	归于	归诸于	页内1处 贴合=0.98 方向=+0.02 领先=1.98 …绝不将救恩的称赞[归于→归诸于]人自身救恩乃完全…
23	1.md	可列于	可被列于	页内1处 贴合=0.77 方向=+0.03 领先=1.77 …一项真理没有一人[可列于→可被列于]信徒的数目中除非…
26	1.md	法律	律法	页内3处 贴合=0.96 方向=+0.08 领先=0.64 …反之乃是唤起人对[法律→律法]遵守的注意誓约是…
26	1.md	法律	律法	页内2处 贴合=0.80 方向=+0.08 领先=0.48 …遵守的注意誓约是[法律→律法]所许可的但虚伪的…
26	1.md	法律	律法	页内1处 贴合=0.83 方向=+0.08 领先=1.83 …与不必须的起誓乃[法律→律法]所禁止如果我们要…
27	1.md	也等同于	也就等于	页内1处 贴合=0.71 方向=+0.00 领先=1.71 …就是说保罗传福音[也等同于→也就等于]他服侍上帝可是他…
27	1.md	所指的	所说的	页内1处 贴合=0.80 方向=+0.00 领先=1.80 …提到你们他在这里[所指的→所说的]并不是指一般求告…
27	1.md	致力	致志	页内1处 贴合=0.86 方向=+0.00 领先=1.86 …的挂虑排除而专心[致力→致志]于上帝工作的祈祷…
27	1.md	祈祷	祈求	页内8处 贴合=0.81 方向=+0.00 领先=0.69 …致志于上帝工作的[祈祷→祈求]当罗马人不在他心…
29	1.md	梦幻	幻梦	页内1处 贴合=1.00 方向=+0.05 领先=2.00 …想去罗马的事变为[梦幻→幻梦]所以他不断地祈求…
29	1.md	分	本分	页内3处 贴合=0.94 方向=+0.03 领先=0.72 …们也不企图做自己[分→本分]以外的事或去反对…
30	1.md	监督	基督	页内2处 贴合=0.80 方向=+0.00 领先=0.72 …谦卑在他们的教师[监督→基督]之下共同受训练与…
30	1.md	监督	基督	页内1处 贴合=0.76 方向=+0.00 领先=1.76 …学问的人绝不当从[监督→基督]的学校中被驱逐有…
30	1.md	使	债	页内1处 贴合=0.84 方向=+0.00 领先=1.84 …保罗欠他们的福音[使→债]他当然要偿还所欠…
30	1.md	服待	服侍	页内1处 贴合=0.83 方向=+0.00 领先=1.83 …就必须享受保罗的[服待→服侍]所有的教师也都有…
30	1.md	要求	追求	页内1处 贴合=0.90 方向=-0.07 领先=1.90 …出来再者如果我们[要求→追求]或爱慕上帝的仁慈…
31	1.md	那里	这里	页内1处 贴合=0.88 方向=+0.05 领先=1.88 …帝的话语因为他在[那里→这里]并不是说到什么秘…
32	1.md	论到上帝的意思	论到上帝的义的意思	页内1处 贴合=0.94 方向=+0.05 领先=1.94 …己的义传递给我们[论到上帝的意思→论到上帝的义的意思]我要这样解释这个…
32	1.md	惟有信才得享永久的生命	惟有信才能得享永久的生命	页内1处 贴合=0.77 方向=+0.03 领先=1.77 …幻影是只存片时的[惟有信才得享永久的生命→惟有信才能得享永久的生命]除了把我们领到上…
34	1.md	有些人不在不虔与不义之间	有些人在不虔与不义之间	页内1处 贴合=0.81 方向=-0.03 领先=1.81 …白本节经文的意义[有些人不在不虔与不义之间→有些人在不虔与不义之间]划一不同的界限以…
35	1.md	上帝的确证	有上帝的确证	页内1处 贴合=0.90 方向=+0.03 领先=1.90 …就清楚证明人从此[上帝的确证→有上帝的确证]能得到什么那就是…
35	1.md	存並非	存在并非	页内1处 贴合=0.74 方向=+0.18 领先=1.74 …位上帝因为世界的[存並非→存在并非]出于偶然亦非由其…
36	1.md	书	节	页内1处 贴合=0.94 方向=+0.06 领先=1.94 …明有的解经家从本[书→节]经文推测说保罗在…
36	1.md	为平等	列为平等	页内1处 贴合=0.94 方向=+0.03 领先=1.94 …与自己卑贱的地位[为平等→列为平等]其实他们应当自己…
37	1.md	离开了真上帝	离弃了真上帝	页内1处 贴合=0.95 方向=+0.05 领先=1.95 …耀改变了所以他们[离开了真上帝→离弃了真上帝]他们也不能以此虚…
37	1.md	都疯狂地	都在疯狂地	页内1处 贴合=0.93 方向=+0.02 领先=1.93 …值得注意的是他们[都疯狂地→都在疯狂地]为自己造作上帝的…
37	1.md	降低至兽	降低至走兽	页内1处 贴合=0.93 方向=+0.02 领先=1.93 …足他们甚至把上帝[降低至兽→降低至走兽]以及最丑恶最污秽…
38	1.md	误解	曲解	页内1处 贴合=0.97 方向=+0.05 领先=1.97 …两个字的意思被人[误解→曲解]他们以为我们由于…
