2	ha3	had	pass2
2	Th^t	That	pass2
3	07i	on	pass2
4	E.y	E. g.	pass2
4	7more	more than the time,	pass2
5	c/we	give ear	SKIP-定位不唯一
5	2G	26	pass2
5	be/ore	before	SKIP-定位不唯一
6	xx^	xxxi.	pass2
8	ver^e	verse	pass3
8	fi:om	from	pass2
9	6r	or	pass2
10	th^	the	pass2
10	li^	דרש	pass2
10	Y'^^^	ארץ	pass2
11	nien	men	pass2
12	te^m	term	pass2
12	Jl^Ptj	זלות	pass2
13	HU'^JJ^-	בנגינות	pass2
13	H^lJ	נֶצַח	pass2
13	&lt	common	pass2
13	ZOiDhi	אֶמּוֹט	pass2
13	^Dil	גָּמַל	pass2
14	then-	their	pass2
14	^J>i	אֵין	pass2
14	'^n	נאלחו	pass2
14	m-	or	pass2
14	L^t	Let	pass2
15	olxiToi	οἰκεῖοι	pass2
15	ro\J	τοῦ	pass2
15	©soD	Θεοῦ	pass2
15	7J\	רגל	pass2
15	^&lt	נשא על	pass2
15	lOiQM	אֶמּוֹט	pass2
16	DH''^^^	עַצְבֵּיהֶם	pass2
16	in''Dn	חסידיך	pass2
17	CAal	evil	witness
17	D^^&lt	אָדָם	pass2
17	lOli^	שָׁמַר	pass2
17	\n3	פָּרַץ	pass2
17	V^IB	פָּרִיץ	pass2
17	vdlt	wilt	witness
17	y^0^^	אִמְרָה	pass2
17	l£^3!li	בְּנֶפֶשׁ	pass3
17	to/ai	to fat	pass2
17	/rum	from	pass2
18	Da\id	David	pass2
18	occm-s	occurs	pass3
18	sro^yri	στοργὴ	pass2
18	^yiriT	וַתִּרְעַשׁ	pass2+heb-swap
18	li^yjpll	וַתִּגְעַשׁ	pass2+heb-swap
18	^hi	אַף	pass2
18	wa'i	was	pass2
18	&lt	it	pass2
18	vapom-s	vapours	pass2
18	exUv	cxliv	witness
18	Heivillfree	He will free	pass2
18	o20	20	pass2
18	tvideplace	wide place	pass2
18	3My	My iniquity	pass2
18	T\	חָסִיד	pass2
18	DrT	חָסִיד	pass2
18	hnng	bring down.	pass2
18	The/or	The for,	SKIP-定位不唯一
18	/or	for	SKIP-定位不唯一
18	The/or	The for	SKIP-定位不唯一
18	31aking	Making	pass2
18	3My	My	pass2
18	w«	was	pass2
18	DSTV	יְהוָֹה	pass2
18	^n	חַי	pass2
18	TiVdH	הַמֶּלֶךְ	pass2
18	^^nother	another	pass2
18	tv/o	two	pass2
19	worJcqf	work of	pass2
19	pro\'ided	provided	pass2
19	^e	the	pass2
19	DnTj	זֵדִים	pass2
19	x\'iii	xviii	pass2
19	d'C	&c.	pass2
20	^^T^i	אַזְכָּרָה	pass2
20	73li	נִדְגֹּל	pass2
20	translated/row	translated from	SKIP-定位不唯一
21	^viii	xviii	pass2
21	yinrf	find	witness
21	iky	thy	witness
22	rtiy	my	witness
22	/Nl	אֵל	pass2
22	tne	me	witness
22	ysn	חָפֵץ בּוֹ	pass2
22	pTie	me,	witness
22	11M3	כָּאֲרוּ	pass2
22	IMS	כָּאֲרִי	pass2
22	^p^^	אֲסַפֵּר	pass2
22	gi-ief	grief	pass2
22	D^D^	רֵמִים	pass2
22	Ms	his	witness
22	sh^ll	shall	pass2
22	1T^^^\	(דור אחרון)	pass2
22	13D^	(יְסֻפַּר)	pass2
22	y^^D^	(אֲסַפְּרָה)	pass2
23	futm-e	future	pass2
23	merelyybr	merely *for*	pass2
23	be/ore	before	SKIP-定位不唯一
23	literally/aiienec^	literally *fattened*	pass2
24	C^y	עַל	pass2
24	2%e	The	pass2
24	Ms	his	witness
24	swoi-n	sworn	pass2
24	nr^D	מִי־זֶה	pass2
24	S^in	מִי	pass2+heb-swap
24	^p	זֶה	pass2+heb-swap
24	HT	מִי	pass2+heb-swap
24	^&lt	הוּא	pass2
25	i^	א	pass2
25	xxi\'	xxiv.	pass2
25	D^IJ^	עֲנָוִים	SKIP-定位不唯一
25	rin^D	וְסָלַחְתָּ	pass2
25	jy^rr^l	רַב־הוּא	pass2
25	Mai	Mal.	pass2
25	^T	פֶּשַׁע	pass2+heb-swap
25	yt£?D	רַב	pass2+heb-swap
26	TopubHsh	To publish	pass2
27	Kom	Rom.	pass2
27	Iioill	I will	pass2
27	Mij	My	witness
27	^catchers	watchers	pass2
27	/or	for	SKIP-定位不唯一
27	yoXl	יַאֲמֵץ	pass3
29	7NI	אֵל	pass2
29	xmll	will	witness
29	^a^>	אָמַר	pass2
29	oiJy	only	witness
29	7l2Dn	הַמַּבּוּל	pass2
29	gi-ound	ground	pass2
30	Wc«	rejoice	SKIP-定位不唯一
30	Ms	his	witness
30	th^	the	pass2
31	rdii	xxiii.	witness
31	xms	was	witness
31	^^&lt	מְאֹד	pass2
32	fij-st	first	pass2
32	mean/or	mean *for*	SKIP-定位不唯一
32	u^wn	upon	pass2
32	y?''^b^^&lt	אַשְׂכִּילְךָ	pass2
32	'Sb^	מַשְׂכִּיל	pass2
32	O^pn	חָסִיד	pass2
33	etjonologists	etymologists	pass2
33	Kev	Rev.	pass2
33	I^M	אָמַר	pass2
33	Ms	his	witness
34	^ere	here	pass2
34	B|	פ	pass2
34	Son^	Sons	pass2
35	jSy	By	witness
35	Tn'm	him	witness
35	iJ	צוֹם	pass2
35	gi-ief	grief	pass2
35	ITfp	קֹדֵר	pass2
35	th^y	they	pass2
35	beha\'iour	behaviour	pass2
35	D''D3	נֵכִים	pass2
35	Dy^T	נְכֵה	pass2+heb-swap
35	HD^	רַגְלַיִם	pass2+heb-swap
35	sowZ	soul	witness
35	The/or	The for	SKIP-定位不唯一
35	nKH	הֶאָח	pass2
36	TtitX\	יְהוָֹה	pass2
36	DW	נְאֻם	pass2
36	Tn	דָּוִד	pass2
36	DS3	נְאֻם	pass2
36	^&lt	אָוֶן	pass2
36	tdlt	wilt	witness
36	&lt	the	pass2
36	som-ce	source	pass2
36	v/hen	when	SKIP-定位不唯一
37	T/ieir	Their	SKIP-定位不唯一
37	2%e	The	pass2
37	be^n	been	pass2
37	y^^y	עָרִיץ	pass2
37	hj	by	witness
38	oy/n	own	pass2
38	/«r	far off	pass2
38	phrase/rom	phrase from	SKIP-定位不唯一
38	ivait	wait	pass2
38	v:hose	whose	pass2
39	yny	my	witness
39	mij	my	witness
39	HD	מָה	pass2
39	U'os	was	witness
39	xxx^dii	xxxviii	pass2
39	iJiou	thou	witness
39	mtin	man	pass2
39	c?t/	cry	pass2
39	aiu	away	witness
39	govern/ace	govern *face*	SKIP-定位不唯一
40	and/ear	and *fear*	SKIP-定位不唯一
40	i^	יִרְאוּ	pass2
40	Xy	יִרְאוּ	pass2
40	•INly'	וְיִירָאוּ	pass3
40	The/ear	The *fear*	SKIP-定位不唯一
40	ha^	hast	pass2
40	t\jayytki'	εὐαγγελί	pass2
40	^o	ζο	pass2
40	iai	μαι,	pass2
40	/or	for	SKIP-定位不唯一
40	^p^	עֵקֶב	pass2
40	ine	me,	witness
41	4-9j	(4-9).	pass2
41	thos^	those	pass2
41	rospered	prospered	pass2
41	ll£^K1	ואשר	pass2
41	Imow	know	witness
41	&lt	and	pass2
41	tnie	true	witness
42	2'These	These	pass2
42	dmvn	down,	witness
42	Vi&lt	(אֵל)	pass2
42	31y	My enemies,	pass2
43	2plead	plead	pass2
43	D^iil	גוים	pass2
43	th^	the	pass2
44	The/or	The *for*	SKIP-定位不唯一
44	\i	vi.	pass2
44	The/or	The for	SKIP-定位不唯一
44	u'e	we	witness
44	th^u	thou	pass3
45	soiuj	song	witness
45	€very	every	pass2
45	Ai\	Arm	pass2
45	sa^e	sake	pass2
45	ah-eady	already	pass2
45	>3p	מִנִּי	pass2
45	D''ilD	מִנִּים	pass2
45	iii.l	iii.1,	pass2
45	ai\d	and	pass2
45	cowj	companions	pass2
45	2hey	They	pass2
46	translated/oam	translated foam	SKIP-定位不唯一
47	TVTiat	What	witness
47	h^	he	pass2
47	Mai	Mal.	pass2
47	7with	with	pass3
47	^/aXarg	ψάλατε	pass2
47	avviTu	συνετῶς	pass2
48	shir	shîr	pass2
48	o£	of	pass2
48	chm-ch	church	pass2
48	a§	as	pass2
48	The/or	The for	SKIP-定位不唯一
48	Ht	זֶה	pass2
49	>are	compare	pass2
49	^ere	here	pass2
49	th^	the	pass2
49	gi-oss	gross	pass2
49	yh''	ילין	pass2
49	re/ram	refrain	SKIP-定位不唯一
50	/rom	from	SKIP-定位不唯一
50	^ical	typical	pass2
50	/or	for	SKIP-定位不唯一
50	^ii	נָא	pass2
50	fiom	from	pass2
51	ordy	only	witness
51	\dii	viii.	pass2
51	pm-e	pure	pass2
51	aivaij	away	witness
51	translated/ree	translated free	SKIP-定位不唯一
51	lij^s	lips	pass2
52	^nan	(man) ?	pass2
52	xx\di	xxvii.	pass2
52	and/ear	see and *fear*	SKIP-定位不唯一
52	oi	of	pass2
52	\-ii	vii.	pass2
53	variation3>the	variations, the	pass2
53	Tyy^J	עלילה	pass2
54	7s	(Is)	pass2
54	IJ^DDD	מִסְתַּתֵּר	pass2
54	2'he	The	pass2
54	miiy'	ישוב	pass2
55	oui	our	pass2
55	hoiTor	horror	pass2
55	7more	more	pass2
55	l^e	be	pass2
55	rf\12i	מָוֶת	pass2
55	Dto	ישימות	pass2
55	wi^e	wide	pass2
55	nntiO	שַׁחַת	pass2
55	mii^	שׁוּחַ	pass2
55	ri/MiOiueuai	ἡμισεύσωσι	pass2
56	jjaiV	pain	witness
56	j^raise	praise	pass2
56	uvrd	word	witness
57	o^vn	own	pass2
57	&s	as	pass2
58	D7^^	אֵלֶם	pass2
58	D7D	פֶּלֶס	pass2
58	literally/row	literally *from*	SKIP-定位不唯一
58	^m&lt	θυμός	pass2
58	agi-ees	agrees	pass2
58	emphatically^sf	emphatically *just*	pass2
58	TUQdiD	mean	witness
58	\indication	vindication	pass2
59	niin	ruin	witness
59	ot	not	pass2
59	vi.Hit	visit	pass2
59	tmto	unto	witness
59	M^^	עֻזִּי	pass2
59	VTp	עֻזּוֹ	pass2
59	/rom	from	SKIP-定位不唯一
60	ti-ibutary	tributary	pass2
60	iis	us	witness
60	TJiov	Thou	witness
60	7ne	me	pass2
60	/or	for	SKIP-定位不唯一
60	^S	צר	pass2
61	^TO	לְדָוִד	pass2
61	J13^J^	נְגִינַת	pass2
61	/ro?7i	from	SKIP-定位不唯一
61	Ood	God	SKIP-定位不唯一
61	fo7-	for	pass2
62	C?|l&lt	אַךְ	pass2
62	C^TJ^	זו	pass2+heb-swap
62	7my	my	pass2
