7	preface.md	奉献	我献上	支持	页内1处 贴合=0.83 方向=+0.11 领先=1.83 …更好的果效以下是[奉献→我献上]此作的第二个原因…
10	preface.md	作者唯一的目的是在于证明	作者唯一的目的在于证明	支持	页内1处 贴合=0.97 方向=+0.02 领先=1.97 …数个目的而实际上[作者唯一的目的是在于证明→作者唯一的目的在于证明]他丝毫不在最大的…
16	1.md	因为我乃是	因我乃是	皆不在	页内1处 贴合=0.95 方向=+0.02 领先=1.95 …口我都比这等人强[因为我乃是→因我乃是]奉上帝和基督的差…
30	1.md	对于神恩典的赞颂	对神恩典的赞颂	皆不在	页内1处 贴合=0.97 方向=+0.02 领先=1.97 …代既是为了藉着他[对于神恩典的赞颂→对神恩典的赞颂]去除所有夸口的理…
32	1.md	乃是最高职分	乃是最高的职分	支持	页内1处 贴合=0.91 方向=+0.02 领先=1.91 …考虑到我们所说的[乃是最高职分→乃是最高的职分]而且我们马上就会…
32	1.md	坚决	绝决	支持	页内1处 贴合=0.76 方向=+0.07 领先=1.76 …能随意起誓他如此[坚决→绝决]地强调这一点并不…
32	1.md	因为我们已经看到	因我们已经看到	支持	页内1处 贴合=0.94 方向=+0.03 领先=1.94 …调这一点并不奇怪[因为我们已经看到→因我们已经看到]撒谎者为剥夺他使…
37	2.md	担当不坚固人的软弱	担代不坚固人的软弱	支持	页内1处 贴合=0.82 方向=+0.06 领先=1.82 …猛在哪里呢我们既[担当不坚固人的软弱→担代不坚固人的软弱]罗就当对潜伏的仇…
40	2.md	前	削	两者皆在	页内2处 贴合=1.00 方向=+0.07 领先=0.87 …次他的威信也将日[前→削]月损仅仅被视作普…
41	2.md	利用教会对于他们的崇敬尊重	利用教会对他们的崇敬尊重	支持	页内1处 贴合=0.97 方向=+0.03 领先=1.97 …举出彼得雅各约翰[利用教会对于他们的崇敬尊重→利用教会对他们的崇敬尊重]以达成他们贬低保…
43	2.md	聚集	集聚	支持	页内1处 贴合=0.94 方向=+0.06 领先=1.94 …权徒只因在犹太人[聚集→集聚]之地已有其他使徒…
51	2.md	因为他们认为	因他们认为	支持	页内1处 贴合=0.96 方向=+0.03 领先=1.96 …的错谬的唯一原因[因为他们认为→因他们认为]当假使徒仅仅为礼…
54	2.md	难道我们就要说	难道我们要说	支持	页内1处 贴合=0.93 方向=+0.02 领先=1.93 …认为是污秽的罪人[难道我们就要说→难道我们要说]基督使罪在他百姓…
61	3.md	这件事本身	这事件本身	支持	页内1处 贴合=0.88 方向=+0.06 领先=1.88 …保罗所论述的只是[这件事本身→这事件本身]在清楚地享有这福…
64	3.md	丧失	失丧	两者皆在	页内2处 贴合=0.92 方向=+0.05 领先=0.70 …责问他们是否甘愿[丧失→失丧]这益处这益处是他…
92	4.md	针对	指着	皆不在	页内2处 贴合=0.94 方向=+0.12 领先=0.60 …复是这些经文乃是[针对→指着]特定的人以及他们…
92	4.md	枷锁	柳锁	支持	页内1处 贴合=0.57 方向=+0.04 领先=1.57 …么样呢上帝砍断了[枷锁→柳锁]以更加宽容的方式…
101	4.md	所说的一不屑一顾	所说的不屑一顾	皆不在	页内1处 贴合=0.92 方向=-0.03 领先=1.92 …为报私怨就会对其[所说的一不屑一顾→所说的不屑一顾]无论其所言如何我…
112	4.md	称为	称作	支持	页内1处 贴合=0.97 方向=+0.07 领先=1.97 …生命这就是教会被[称为→称作]信徒之母的缘由当…
127	5.md	因为	因	两者皆在	页内6处 贴合=0.84 方向=+0.03 领先=0.65 …着的人都包括在内[因为→因]我们共有这同样的…
127	5.md	错误	错谬	否证	页内2处 贴合=0.85 方向=+0.06 领先=0.61 …必证明是毁灭性的[错误→错谬]的教训或许是天而…
127	5.md	天而来	从天而来	两者皆在	页内1处 贴合=0.91 方向=+0.03 领先=1.91 …错谬的教训或许是[天而来→从天而来]对他们野心骄傲及…
140	6.md	神恩典的承认	对神恩典的承认	两者皆在	页内1处 贴合=0.97 方向=+0.03 领先=1.97 …今日徒这只不过是[神恩典的承认→对神恩典的承认]并不给人带来任何…
146	6.md	吩咐	盼咐	皆不在	页内1处 贴合=0.94 方向=+0.06 领先=1.94 …实毫无关联而他们[吩咐→盼咐]当遵行律法也只为…
